ADIPOR1	9606.ENSP00000341785
ARL3	9606.ENSP00000260746
BEST1	9606.ENSP00000399709
CRX	9606.ENSP00000221996
FSCN2	9606.ENSP00000334665
GUCA1B	9606.ENSP00000230361
HK1	9606.ENSP00000494664
IMPDH1	9606.ENSP00000345096
IMPG1	9606.ENSP00000358966
KIF3B	9606.ENSP00000364864
KLHL7	9606.ENSP00000343273
NR2E3	9606.ENSP00000482504
NRL	9606.ENSP00000454062
RDH12	9606.ENSP00000449079
RHO	9606.ENSP00000296271
ROM1	9606.ENSP00000278833
RP1	9606.ENSP00000220676
RP9	9606.ENSP00000297157
RPE65	9606.ENSP00000262340
SAG	9606.ENSP00000386444
SEMA4A	9606.ENSP00000357265
SNRNP200	9606.ENSP00000317123
SPP2	9606.ENSP00000168148
TOPORS	9606.ENSP00000353735
VWA8	9606.ENSP00000368612
ABCA4	9606.ENSP00000359245
ADGRA3	9606.ENSP00000334952
AGBL5	9606.ENSP00000353249
AHR	9606.ENSP00000242057
ARHGEF18	9606.ENSP00000482647
ARL2BP	9606.ENSP00000219204
ARL6	9606.ENSP00000419619
BBS1	9606.ENSP00000317469
BBS2	9606.ENSP00000245157
C8ORF37	9606.ENSP00000286688
CC2D2A	9606.ENSP00000403465
CCDC51	9606.ENSP00000379047
CEP162	9606.ENSP00000385215
CERKL	9606.ENSP00000341159
CFAP20	9606.ENSP00000262498
CFAP410	9606.ENSP00000381047
CLCC1	9606.ENSP00000349456
CLRN1	9606.ENSP00000329158
CNGA1	9606.ENSP00000384264
CNGB1	9606.ENSP00000251102
COQ2	9606.ENSP00000310873
COQ4	9606.ENSP00000300452
COQ5	9606.ENSP00000288532
COQ8B	9606.ENSP00000315118
CRB1	9606.ENSP00000356370
CRB2	9606.ENSP00000362734
CWC27	9606.ENSP00000370460
CYP4V2	9606.ENSP00000368079
DHDDS	9606.ENSP00000353104
DHX38	9606.ENSP00000268482
EMC1	9606.ENSP00000420608
ENSA	9606.ENSP00000341743
EYS	9606.ENSP00000359655
FAM161A	9606.ENSP00000385158
HGSNAT	9606.ENSP00000368965
HKDC1	9606.ENSP00000346643
IDH3B	9606.ENSP00000482773
IFT140	9606.ENSP00000406012
IFT172	9606.ENSP00000260570
IFT43	9606.ENSP00000238628
IMPG2	9606.ENSP00000193391
KIAA1549	9606.ENSP00000416040
KIZ	9606.ENSP00000479542
LRAT	9606.ENSP00000337224
MAK	9606.ENSP00000346484
MERTK	9606.ENSP00000295408
MVK	9606.ENSP00000228510
NEK2	9606.ENSP00000355966
NEUROD1	9606.ENSP00000295108
PCARE	9606.ENSP00000332809
PDE6A	9606.ENSP00000255266
PDE6B	9606.ENSP00000420295
PDE6G	9606.ENSP00000328412
PDSS1	9606.ENSP00000365388
POMGNT1	9606.ENSP00000361060
PRCD	9606.ENSP00000467661
PROM1	9606.ENSP00000426809
PROS1	9606.ENSP00000377783
RAX2	9606.ENSP00000450456
RBP3	9606.ENSP00000463151
REEP6	9606.ENSP00000233596
RGR	9606.ENSP00000352427
RLBP1	9606.ENSP00000268125
RP1L1	9606.ENSP00000371923
SAMD11	9606.ENSP00000342313
SLC37A3	9606.ENSP00000321498
SLC39A12	9606.ENSP00000366586
SLC66A1	9606.ENSP00000364295
SLC7A14	9606.ENSP00000231706
SPATA7	9606.ENSP00000377176
SUMF1	9606.ENSP00000272902
TBC1D32	9606.ENSP00000381270
TMEM216	9606.ENSP00000334844
TRNT1	9606.ENSP00000251607
TTC8	9606.ENSP00000482306
TULP1	9606.ENSP00000229771
UBAP1L	9606.ENSP00000454012
USH2A	9606.ENSP00000305941
ZNF408	9606.ENSP00000309606
ZNF513	9606.ENSP00000318373
OFD1	9606.ENSP00000344314
RP2	9606.ENSP00000218340
RPGR	9606.ENSP00000495537
MT-ATP6	9606.ENSP00000354632
WDR19	9606.ENSP00000382717
SCAPER	9606.ENSP00000454973
GUCY2D	9606.ENSP00000254854
C1QTNF5	9606.ENSP00000431140
LCA5	9606.ENSP00000376686
CHM	9606.ENSP00000350386
INPP5E	9606.ENSP00000360777
RD3	9606.ENSP00000355969
CEP290	9606.ENSP00000448012
RPGRIP1	9606.ENSP00000382895
PITPNM3	9606.ENSP00000262483
PLA2G5	9606.ENSP00000364249
CACNA1F	9606.ENSP00000365441
CLN3	9606.ENSP00000454229
PRKCG	9606.ENSP00000263431
