0.594	0.355	CEP290	A
0.365	0.379	RP1L1	A
0.782	0.376	ARL6	A
0.163	0.478	IMPG1	A
0.649	0.315	BBS1	A
0.235	0.452	RBP3	A
0.848	0.609	SAMD11	A
0.678	0.842	COQ2	A
0.518	0.207	ARL3	A
0.489	0.365	RPGRIP1	A
0.572	0.609	MERTK	A
0.694	0.298	IFT172	A
0.605	0.476	USH2A	A
0.604	0.513	SPATA7	A
0.365	0.483	ROM1	A
0.823	0.788	ADGRA3	C
0.391	0.118	CFAP20	A
0.491	0.664	FSCN2	A
0.882	0.163	SCAPER	C
0.558	0.299	OFD1	A
0.705	0.517	CRB2	A
0.330	0.613	RLBP1	A
0.263	0.757	NEUROD1	A
0.529	0.407	C8ORF37	A
0.372	0.747	SPP2	C
0.313	0.183	POMGNT1	C
0.530	0.662	TOPORS	A
0.492	0.481	RDH12	A
0.460	0.082	TBC1D32	A
0.559	0.589	PRCD	A
0.502	0.101	RP2	A
0.723	0.911	COQ4	A
0.279	0.313	PITPNM3	A
0.413	0.202	ARL2BP	A
0.222	0.186	PRKCG	A
0.587	0.868	ARHGEF18	C
0.328	0.554	SEMA4A	A
0.273	0.848	SLC66A1	C
0.413	0.520	PDE6A	A
0.449	0.498	CNGB1	A
0.419	0.475	ABCA4	A
0.484	0.429	RPGR	A
0.525	0.515	TULP1	A
0.228	0.565	RGR	A
0.763	0.746	MVK	A
0.759	0.442	CHM	A
0.563	0.531	IMPDH1	A
0.601	0.538	LRAT	A
0.633	0.606	CLRN1	A
0.360	0.575	RP9	A
0.378	0.585	BEST1	A
0.409	0.602	CNGA1	A
0.771	0.286	CEP162	A
0.449	0.224	INPP5E	A
0.254	0.284	SLC37A3	C
0.754	0.882	COQ8B	A
0.464	0.669	PDE6G	A
0.268	0.369	RAX2	A
0.530	0.562	EYS	A
0.356	0.524	NRL	A
0.842	0.203	ADIPOR1	C
0.490	0.517	RPE65	A
0.908	0.507	SUMF1	A
0.815	0.681	ZNF408	A
0.435	0.572	CERKL	A
0.607	0.683	DHDDS	A
0.447	0.383	GUCY2D	A
0.426	0.695	KLHL7	A
0.356	0.646	SNRNP200	A
0.435	0.540	NR2E3	A
0.681	0.916	COQ5	A
0.341	0.269	CACNA1F	A
0.537	0.811	PROS1	A
0.849	0.434	HGSNAT	A
0.324	0.320	SAG	A
0.777	0.506	CRB1	A
0.832	0.123	CCDC51	A
0.744	0.557	HK1	A
0.372	0.828	AGBL5	C
0.512	0.639	IMPG2	A
0.837	0.728	TRNT1	A
0.508	0.579	PCARE	A
0.592	0.175	WDR19	A
0.301	0.487	PROM1	A
0.441	0.446	PDE6B	A
0.382	0.921	KIAA1549	A
0.212	0.725	DHX38	A
0.672	0.440	LCA5	A
0.169	0.682	CWC27	A
0.708	0.829	PDSS1	A
0.194	0.390	REEP6	A
0.195	0.344	VWA8	C
0.195	0.606	SLC39A12	C
0.554	0.467	FAM161A	A
0.539	0.169	TMEM216	A
0.862	0.304	PLA2G5	C
0.456	0.598	GUCA1B	A
0.744	0.143	UBAP1L	C
0.077	0.527	RP1	A
0.573	0.244	CC2D2A	A
0.918	0.736	MT-ATP6	A
0.653	0.277	IFT140	A
0.695	0.183	KIF3B	A
0.390	0.215	CFAP410	A
0.391	0.410	RHO	A
0.195	0.244	EMC1	C
0.573	0.470	TTC8	A
0.612	0.265	BBS2	A
0.882	0.868	KIZ	C
0.663	0.420	RD3	A
0.218	0.801	SLC7A14	A
0.415	0.674	IDH3B	A
0.838	0.249	NEK2	A
0.842	0.828	CLCC1	C
0.458	0.851	MAK	A
0.372	0.788	AHR	C
0.816	0.546	HKDC1	A
0.661	0.160	IFT43	A
0.823	0.344	CLN3	A
0.629	0.758	CYP4V2	A
0.568	0.143	C1QTNF5	C
0.487	0.613	ZNF513	A
0.234	0.647	ENSA	C
0.389	0.476	CRX	A
