The following pairings (Gene : Coords) indicate the coordinates of the gene in the restructured SVG file.

ABCA4 : [1930, 2483]
ABCB6 : [2306, 3633]
ACAT1 : [920, 1248]
ACLY : [2008, 3363]
ADIPOR1 : [895, 1316]
AGBL5 : [2645, 834]
AHR : [921, 1953]
AKAP9 : [2320, 2297]
AKT1 : [2546, 1178]
ALB : [2423, 1000]
ARAP2 : [1530, 2853]
ARHGAP22 : [2790, 1050]
ARHGAP24 : [1998, 733]
ARHGEF18 : [2342, 3708]
ARL2BP : [1726, 2676]
ARL3 : [1530, 2947]
ARL6 : [1900, 2732]
ARNT : [1236, 859]
BBS1 : [1567, 2767]
BBS2 : [1637, 2705]
BEST1 : [1527, 3349]
C2ORF71 : [1261, 3535]
C8ORF37 : [2136, 2413]
CA4 : [1686, 3312]
CAD : [2262, 3565]
CAPN13 : [2318, 900]
CDH13 : [2372, 948]
CDH2 : [2534, 872]
CDON : [2612, 799]
CEP70 : [1126, 2249]
CERKL : [1318, 3476]
CH25H : [1030, 2141]
CLRN1 : [1901, 3067]
CNGA1 : [2639, 1744]
CNGB1 : [2624, 1815]
CRB1 : [2374, 2249]
CRX : [2385, 4031]
CYP4V2 : [1452, 3382]
CYP51A1 : [1856, 705]
CYP8B1 : [1825, 304]
DECR1 : [1428, 757]
DHCR7 : [1431, 2443]
DHDDS : [1852, 4582]
DHX38 : [1933, 4564]
DOLK : [1867, 4670]
DTHD1 : [2262, 2341]
EMC1 : [2647, 1524]
ENO1 : [1028, 1060]
ENO2 : [1074, 1003]
ENO3 : [1124, 951]
ENO4 : [2468, 1057]
EVA1A : [2562, 904]
EYS : [1454, 4518]
FAM161A : [1213, 4299]
FAXDC2 : [988, 2083]
FBXL19 : [2147, 3447]
FDFT1 : [1639, 347]
FSCN2 : [2604, 1885]
GAPDH : [2623, 1381]
GART : [2788, 1341]
GHR : [1500, 2465]
GNA13 : [2832, 1135]
GNG2 : [2733, 1177]
GNGT1 : [2764, 1258]
GNPDA1 : [1567, 717]
GPR125 : [1786, 2499]
GUCA1B : [1110, 3992]
HCCS : [953, 2020]
HGSNAT : [2911, 1407]
HK1 : [1238, 2342]
HSD17B7 : [1783, 700]
HSP90AA1 : [1362, 787]
IDH2 : [1300, 2381]
IDH3B : [1172, 3673]
IFT140 : [2070, 2442]
IFT172 : [1955, 2807]
IL6 : [1297, 820]
IMPDH1 : [1212, 3601]
IMPG2 : [2548, 2018]
INS : [860, 1457]
ITGB2 : [2806, 1425]
KDM2A : [2067, 756]
KDM2B : [2134, 785]
KDM6A : [951, 1183]
KDM6B : [987, 1120]
KIAA1549 : [1570, 2483]
KIZ : [2742, 967]
KLHL7 : [1528, 4551]
KPNA2 : [1383, 4476]
KPNA7 : [1930, 3335]
LRAT : [1825, 495]
LSS : [875, 1817]
MAF : [1319, 4425]
MAK : [1820, 3113]
MERTK : [1639, 453]
MSMO1 : [1711, 700]
MVK : [2000, 2465]
MYC : [2424, 2197]
NEK2 : [2510, 1115]
NEUROD1 : [1121, 3829]
NOS3 : [1641, 2494]
NR2E3 : [2390, 3950]
NRL : [1606, 3325]
OFD1 : [1637, 3095]
PARK2 : [1608, 4574]
PDE6A : [2603, 1312]
PDE6B : [2200, 2380]
PDE6G : [1121, 4073]
PLK1 : [2653, 1025]
PNPT1 : [2603, 954]
POMGNT1 : [1878, 4743]
PPARA : [852, 1673]
PPARG : [852, 1528]
PRCD : [1141, 3749]
PRDM10 : [849, 1601]
PRKAR2B : [875, 1385]
PROM1 : [2511, 2080]
PRPF3 : [2263, 4333]
PRPF31 : [2344, 4190]
PRPF4 : [2211, 4395]
PRPF6 : [2150, 4451]
PRPF8 : [2308, 4263]
PRPH2 : [2650, 1600]
PTPN23 : [2385, 3866]
PYGL : [1364, 2414]
RANBP2 : [1110, 3909]
RBP3 : [1722, 518]
RCVRN : [1928, 716]
RDH12 : [1768, 3309]
REEP6 : [2865, 1223]
RGR : [1722, 281]
RHO : [2577, 1244]
RHOA : [2695, 1100]
RLBP1 : [2470, 2140]
ROM1 : [2578, 1952]
RP1 : [1955, 2991]
RP1L1 : [1262, 4366]
RP2 : [1568, 3032]
RP9 : [2082, 4498]
RPE65 : [1871, 400]
RPGR : [1975, 2900]
SAG : [2647, 1672]
SAMD11 : [1688, 4587]
SC5D : [1639, 705]
SEMA4A : [1770, 4590]
SIN3A : [1496, 734]
SLC2A4 : [1180, 2298]
SLC7A14 : [2892, 1315]
SNRNP200 : [2009, 4536]
SP1 : [1714, 2499]
SPATA7 : [1850, 3316]
SPP2 : [860, 1745]
SQLE : [896, 1886]
SRGAP2 : [2259, 857]
SRGAP3 : [2198, 818]
STAT3 : [2638, 1453]
TCOF1 : [1818, 2686]
TM7SF2 : [1075, 2198]
TOPORS : [1141, 4152]
TRNT1 : [2688, 890]
TSPO : [1178, 902]
TULP1 : [1173, 4229]
UBC : [2080, 3400]
UBXN1 : [2369, 3785]
USH2A : [1726, 3123]
XPO1 : [1382, 3424]
XRN1 : [2208, 3503]
ZNF408 : [1859, 2494]
ZNF513 : [2370, 4112]
