name	x	y	group	annotation
TRNT1	387.0	1415.0	A	TRNT1
NEK2	1044.0	171.0	A	NEK2
RP2	1134.0	1174.0	A	RP2
IMPG2	537.0	984.0	A	IMPG2
CNGB1	551.0	737.0	A	CNGB1
LCA5	882.0	809.0	A	LCA5
COQ4	587.0	1545.0	A	COQ4
CYP4V2	728.0	1271.0	A	CYP4V2
RBP3	281.0	676.0	A	RBP3
KIF3B	1198.0	450.0	A	KIF3B
POMGNT1	651.0	50.0	B	POMGNT1
ZNF408	253.0	1286.0	A	ZNF408
CLRN1	538.0	1082.0	A	CLRN1
REEP6	185.0	774.0	A	REEP6
EMC1	80.0	1070.0	B	EMC1
AHR	539.0	150.0	B	AHR
CWC27	270.0	1184.0	A	CWC27
INPP5E	1029.0	1105.0	A	INPP5E
TOPORS	701.0	1055.0	A	TOPORS
ABCA4	623.0	770.0	A	ABCA4
CCDC51	1482.0	553.0	A	CCDC51
IMPG1	192.0	642.0	A	IMPG1
SEMA4A	462.0	848.0	A	SEMA4A
PRKCG	193.0	556.0	A	PRKCG
NEUROD1	142.0	730.0	A	NEUROD1
PITPNM3	775.0	358.0	A	PITPNM3
TBC1D32	1307.0	455.0	A	TBC1D32
CFAP20	1176.0	381.0	A	CFAP20
GUCA1B	588.0	761.0	A	GUCA1B
CFAP410	943.0	335.0	A	CFAP410
PDSS1	624.0	1423.0	A	PDSS1
PROS1	895.0	1298.0	A	PROS1
SPATA7	784.0	889.0	A	SPATA7
CNGA1	493.0	706.0	A	CNGA1
RGR	321.0	492.0	A	RGR
MT-ATP6	314.0	1518.0	A	MT-ATP6
RAX2	731.0	448.0	A	RAX2
TMEM216	1235.0	733.0	A	TMEM216
ARL2BP	1043.0	461.0	A	ARL2BP
EYS	622.0	909.0	A	EYS
CRX	566.0	680.0	A	CRX
CC2D2A	1114.0	665.0	A	CC2D2A
IDH3B	430.0	958.0	A	IDH3B
CHM	927.0	1149.0	A	CHM
RP1	43.0	619.0	A	RP1
AGBL5	947.0	169.0	B	AGBL5
FSCN2	586.0	997.0	A	FSCN2
SLC7A14	837.0	1505.0	A	SLC7A14
CACNA1F	584.0	401.0	A	CACNA1F
RPE65	658.0	767.0	A	RPE65
PCARE	698.0	988.0	A	PCARE
PRCD	673.0	965.0	A	PRCD
HKDC1	1378.0	1049.0	A	HKDC1
PDE6B	583.0	697.0	A	PDE6B
PDE6G	476.0	874.0	A	PDE6G
TULP1	711.0	833.0	A	TULP1
PROM1	404.0	765.0	A	PROM1
BBS1	1017.0	812.0	A	BBS1
ROM1	499.0	767.0	A	ROM1
KLHL7	597.0	1070.0	A	KLHL7
COQ5	648.0	1534.0	A	COQ5
SAMD11	145.0	1156.0	A	SAMD11
DHDDS	631.0	1146.0	A	DHDDS
HK1	1264.0	1066.0	A	HK1
LRAT	638.0	626.0	A	LRAT
PDE6A	549.0	770.0	A	PDE6A
CRB1	1341.0	1234.0	A	CRB1
RP9	655.0	1047.0	A	RP9
HGSNAT	1047.0	1372.0	A	HGSNAT
BEST1	518.0	868.0	A	BEST1
RD3	833.0	531.0	A	RD3
C8ORF37	833.0	771.0	A	C8orf37
FAM161A	754.0	992.0	A	FAM161A
MERTK	734.0	866.0	A	MERTK
PRPF8	489.0	1029.0	D	PRPF8
OFD1	1002.0	893.0	A	OFD1
CERKL	587.0	867.0	A	CERKL
IFT140	1029.0	645.0	A	IFT140
IFT43	1262.0	531.0	A	IFT43
SNRNP200	455.0	1002.0	A	SNRNP200
CRB2	1227.0	1251.0	A	CRB2
RPGR	772.0	800.0	A	RPGR
DHX38	358.0	1253.0	A	DHX38
KIAA1549	50.0	833.0	A	KIAA1549
RPGRIP1	835.0	703.0	A	RPGRIP1
NRL	458.0	791.0	A	NRL
CLN3	1005.0	1234.0	A	CLN3
IFT172	1102.0	868.0	A	IFT172
RLBP1	370.0	819.0	A	RLBP1
NR2E3	495.0	739.0	A	NR2E3
MVK	419.0	1339.0	A	MVK
TTC8	843.0	893.0	A	TTC8
USH2A	782.0	953.0	A	USH2A
WDR19	1231.0	623.0	A	WDR19
COQ2	558.0	1416.0	A	COQ2
BBS2	1045.0	699.0	A	BBS2
GUCY2D	708.0	642.0	A	GUCY2D
CEP162	1362.0	849.0	A	CEP162
IMPDH1	729.0	917.0	A	IMPDH1
SAG	656.0	396.0	A	SAG
ARL6	980.0	467.0	A	ARL6
CEP290	927.0	770.0	A	CEP290
SUMF1	1140.0	1484.0	A	SUMF1
RP1L1	750.0	687.0	A	RP1L1
ZNF513	521.0	942.0	A	ZNF513
RHO	651.0	652.0	A	RHO
MAK	838.0	1301.0	A	MAK
ARL3	1043.0	847.0	A	ARL3
RDH12	653.0	841.0	A	RDH12
COQ8B	527.0	1528.0	A	COQ8B
AIPL1	702.0	598.0	D	AIPL1
CABP4	690.0	462.0	D	CABP4
TTLL5	919.0	413.0	D	TTLL5
