#node	identifier	domain_summary_url	annotation	other_names_and_aliases
ABCA4	9606.ENSP00000359245	Retinal-specific phospholipid-transporting ATPase ABCA4; Catalyzes the translocation of specific phospholipids from the extracellular/lumenal to the cytoplasmic leaflet of membrane coupled to the hydrolysis of ATP. Transports preferentially phosphatidylethanolamine. In the visual cycle, acts as an inward-directed retinoid flipase, retinoid substrates imported by ABCA4 from the extracellular or intradiscal (rod) membrane surfaces to the cytoplasmic membrane surface are all- trans-retinaldehyde (ATR) and N-retinyl-phosphatidyl-ethanolamine (NR- PE). Once transported to the cytoplasmic su [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=2273:TRANS(23|42)+Pfam_ABC2_membrane_3(607|856)+AAA(955|1145)+TRANS(1373|1395)+Pfam_ABC2_membrane_3(1595|1895)+AAA(1964|2148)+	24,7.6.2.1,A0A3B3IRV8,AAC05632.1,AAC23915.1,AAC51144.1,AB210040,ABC10,ABCA4,ABCA4-201,ABCA4-202,ABCA4-203,ABCA4-204,ABCA4-205,ABCA4-206,ABCA4-207,ABCA4-208,ABCA4_HUMAN,ABCR,ABD90529.1,AC093579,AC105278,AF000148,AF001945,ARMD2,ATP binding cassette subfamily A member 4,ATP-binding cassette sub-family A member 4,BAE06122.1,CAA75729.1,CCDS747,CCDS747.1,CORD3,DQ426859,ENSG00000198691,ENSP00000354463,ENSP00000355303,ENSP00000359245,ENSP00000437682,ENSP00000437902,ENSP00000439707,ENSP00000443203,ENSP00000496882,ENST00000361520,ENST00000361862,ENST00000370225,ENST00000370225.3,ENST00000460514,ENST00000460514.1,ENST00000465352,ENST00000465352.1,ENST00000470771,ENST00000470771.1,ENST00000472033,ENST00000472033.1,ENST00000484388,ENST00000484388.1,ENST00000535735,ENST00000535881,ENST00000536513,ENST00000536513.5,ENST00000546054,ENST00000649773,ENST00000649773.1,F6TT59,FFM,HGNC:34,HPA078826,NM_000350,NM_000350.2,NM_000350.3,NP_000341,NP_000341.2,NX_P78363,O15112,O60438,O60915,OMIM:601691,OTTHUMG00000010622,P78363,Q0QD48,Q4LE31,R-HSA-162582,R-HSA-1643685,R-HSA-2187338,R-HSA-2453864,R-HSA-2453902,R-HSA-2474795,R-HSA-372790,R-HSA-382551,R-HSA-382556,R-HSA-388396,R-HSA-418594,R-HSA-5663202,RIM ABC transporter,RIM protein,RMP,RP19,RmP,STGD,STGD1,Stargardt disease,Stargardt disease protein,U88667,UPI000012511C,UPI0002065063,UPI0002065065,URS00008C1FBE,Y15635,Y15636,Y15637,Y15638,Y15639,Y15640,Y15641,Y15642,Y15643,Y15644,Y15645,Y15646,Y15647,Y15648,Y15649,Y15650,Y15651,Y15652,Y15653,Y15654,Y15655,Y15656,Y15657,Y15658,Y15659,Y15660,Y15661,Y15662,Y15663,Y15664,Y15665,Y15666,Y15667,Y15668,Y15669,Y15670,Y15671,Y15672,Y15673,Y15674,Y15675,Y15676,Y15677,Y15678,Y15679,Y15680,Y15681,Y15682,Y15683,Y15684,hsa:24,uc001dqh.4
ADGRA3	9606.ENSP00000334952	Adhesion G protein-coupled receptor A3; Orphan receptor that may have a role in planar cell polarity pathway; Belongs to the G-protein coupled receptor 2 family. Adhesion G-protein coupled receptor (ADGR) subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=1321:SIGNAL(1|33)+LRR(79|103)+LRR_TYP(104|127)+LRR_TYP(128|151)+LRR_TYP(152|175)+LRRCT(187|236)+IG(249|342)+GPS(697|749)+Pfam_7tm_2(755|1042)+	166647,AAH35645.1,AAO27355.1,AAQ88673.1,AC093735,AC093814,ADGRA3,ADGRA3-201,ADGRA3-202,ADGRA3-203,ADGRA3-204,ADGRA3-205,ADGRA3-206,ADGRA3-207,ADGRA3-208,ADGRA3-209,ADGRA3-210,ADGRA3-211,ADGRA3-212,ADGRA3-213,AGRA3_HUMAN,AK095866,AY181243,AY358306,Adhesion G protein-coupled receptor A3,BC026009,BC035645,CCDS33964,CCDS33964.1,D6RDX4,D6RER4,ENSG00000152990,ENSP00000282943,ENSP00000295295,ENSP00000334952,ENSP00000371563,ENSP00000421006,ENSP00000422606,ENSP00000424927,ENSP00000425223,ENST00000282943,ENST00000282943.9,ENST00000295295,ENST00000334304,ENST00000334304.9,ENST00000382129,ENST00000499527,ENST00000499527.6,ENST00000502482,ENST00000502482.1,ENST00000504617,ENST00000504617.1,ENST00000506133,ENST00000506133.5,ENST00000506155,ENST00000506155.1,ENST00000506346,ENST00000506346.1,ENST00000508133,ENST00000508133.5,ENST00000511051,ENST00000511051.5,ENST00000513385,ENST00000513385.5,ENST00000514129,ENST00000514129.5,ENST00000514749,ENST00000514749.5,FLJ38547,G protein-coupled receptor 125,G-protein coupled receptor 125,GPR125,HGNC:13839,HPA008904,NM_145290,NM_145290.3,NM_145290.4,NP_660333,NP_660333.2,NX_Q8IWK6,OMIM:612303,OTTHUMG00000160926,P02.018,PGR21,Q6UXK9,Q86SQ5,Q8IWK6,Q8TC55,TEM5L,UNQ556/PRO1113,UPI0000048EDC,UPI00001D7735,UPI00003BF726,UPI0001D3B1EE,UPI0001D3B1EF,URS00008C0EFC,URS00008C3B1C,URS0000D6D4D3,URS0000D6D5E4,URS0000D6E27A,XM_005248137,XM_005248137.5,XM_011513811,XM_011513811.2,XP_005248194,XP_005248194.1,XP_011512113,XP_011512113.1,XR_001741153,XR_001741153.1,adhesion G protein-coupled receptor A3,hsa:166647,uc003gqm.3
ADIPOR1	9606.ENSP00000341785	Adiponectin receptor protein 1; Receptor for ADIPOQ, an essential hormone secreted by adipocytes that regulates glucose and lipid metabolism. Required for normal glucose and fat homeostasis and for maintaining a normal body weight. ADIPOQ-binding activates a signaling cascade that leads to increased AMPK activity, and ultimately to increased fatty acid oxidation, increased glucose uptake and decreased gluconeogenesis. Has high affinity for globular adiponectin and low affinity for full-length adiponectin (By similarity); Belongs to the ADIPOR family.	https://smart.embl.de/smart/DDvec.cgi?smart=375:Pfam_HlyIII(129|352)+	3WXV,51094,5LXG,AAD34040.1,AAH01594.1,AAH10743.1,AAQ13552.1,AAR08367.1,AC096632,ACDCR1,ADIPOR1,ADIPOR1-201,ADIPOR1-202,ADIPOR1-203,ADIPOR1-204,ADIPOR1-205,AF125179,AF151803,AK001484,AK222503,AY424279,Adiponectin receptor,Adiponectin receptor 1,Adiponectin receptor protein 1,B3KMB0,BAD96223.1,BAG50922.1,BC001594,BC010743,C9J0W7,C9JNM5,CCDS1430,CCDS1430.1,CGI-45,CGI45,CH471067,CHEMBL3392946,EAW91450.1,ENSG00000159346,ENSP00000290509,ENSP00000341785,ENSP00000356223,ENSP00000392946,ENSP00000395469,ENSP00000402178,ENST00000290509,ENST00000340990,ENST00000340990.9,ENST00000367254,ENST00000367254.7,ENST00000417068,ENST00000417068.5,ENST00000426229,ENST00000426229.1,ENST00000436244,ENST00000495562,ENST00000495562.5,F8W782,HGNC:24040,NM_001290553,NM_001290553.1,NM_001290557,NM_001290557.1,NM_001290629,NM_001290629.1,NM_015999,NM_015999.5,NM_015999.6,NP_001277482,NP_001277482.1,NP_001277486,NP_001277486.1,NP_001277558,NP_001277558.1,NP_057083,NP_057083.2,NX_Q96A54,OMIM:607945,OTTHUMG00000041391,PAQR1,PAQR1_HUMAN,Progestin and adipoQ receptor family member 1,Progestin and adipoQ receptor family member I,Q53HS7,Q53YY6,Q96A54,Q9Y360,R-HSA-1430728,R-HSA-163680,R-HSA-163685,TESBP1A,UPI000003779A,UPI000059D098,UPI000059D099,UPI00015E0CD1,XM_017001407,XM_017001407.1,XM_024447427,XM_024447427.1,XP_016856896,XP_016856896.1,XP_024303195,XP_024303195.1,adiponectin receptor 1,hsa:51094,uc001gyq.7
AGBL5	9606.ENSP00000353249	Cytosolic carboxypeptidase-like protein 5; Metallocarboxypeptidase that mediates protein deglutamylation. Specifically catalyzes the deglutamylation of the branching point glutamate side chains generated by post-translational glutamylation in proteins such as tubulins. In contrast, it is not able to act as a long-chain deglutamylase that shortens long polyglutamate chains, a process catalyzed by AGTPBP1/CCP1, AGBL2/CCP2, AGBL3/CCP3, AGBL1/CCP4 and AGBL4/CCP6. Mediates deglutamylation of CGAS, regulating the antiviral activity of CGAS.	https://smart.embl.de/smart/DDvec.cgi?smart=886:Pfam_Peptidase_M14(198|520)+	3.4.17.-,3.4.17.24,60509,A2VDI7,AAH07415.2,AAI31499.1,AAX93164.1,AAY14655.1,AC013403,AC013472,AGBL5,AGBL5-201,AGBL5-202,AGBL5-203,AGBL5-204,AGBL5-205,AGBL5-206,AGBL5-207,AGBL5-208,AGBL5-209,AGBL5-210,AK023398,AK025492,AK302091,AL833844,ATP/GTP binding protein like 5,ATP/GTP-binding protein-like 5,B7WPG9,B7Z7I7,BAB14560.1,BAB15151.1,BAH13623.1,BC007415,BC018584,BC131498,C9JCE1,C9JHM6,C9JQG9,C9JTY1,CAD38704.1,CBPC5_HUMAN,CCDS1732,CCDS1732.3,CCDS42665,CCDS42665.1,CCP5,CH471053,Cytosolic carboxypeptidase protein 5,Cytosolic carboxypeptidase-like protein 5,D6W548,EAX00649.1,EAX00651.1,EAX00652.1,EAX00653.1,EC 3.4.17.24,ENSG00000084693,ENSP00000264702,ENSP00000323681,ENSP00000352589,ENSP00000353249,ENSP00000369706,ENSP00000394730,ENSP00000395266,ENSP00000395721,ENSP00000400905,ENSP00000407584,ENSP00000433830,ENST00000264702,ENST00000323064,ENST00000323064.12,ENST00000359582,ENST00000360131,ENST00000360131.4,ENST00000380348,ENST00000421915,ENST00000421915.5,ENST00000437006,ENST00000437006.1,ENST00000441931,ENST00000441931.1,ENST00000451003,ENST00000451003.5,ENST00000453161,ENST00000453161.5,ENST00000477136,ENST00000477136.5,ENST00000487078,ENST00000487078.5,ENST00000489683,ENST00000489683.5,FLJ21839,H7C1L5,HGNC:26147,HPA030981,M14.025,NM_001035507,NM_001035507.2,NM_001035507.3,NM_021831,NM_021831.5,NM_021831.6,NP_001030584,NP_001030584.1,NP_068603,NP_068603.4,NR_104246,NR_104246.2,NR_138023,NR_138023.1,NX_Q8NDL9,OMIM:615900,OTTHUMG00000128406,Q53SW0,Q53SZ0,Q8NDL9,Q96IK8,Q9H6V0,Q9H8P8,R-HSA-392499,R-HSA-597592,R-HSA-8955332,RP75,UPI000006FE54,UPI00002080CC,UPI00003746B8,UPI000173A4D6,UPI000173A4D7,UPI000173A4D8,UPI000173A4D9,UPI000173A4DA,URS0000EA0B45,URS0000EBCF59,XM_005264477,XM_005264477.3,XM_011533011,XM_011533011.2,XM_011533011.3,XM_011533012,XM_011533012.2,XM_011533013,XM_011533013.2,XP_005264534,XP_005264534.1,XP_011531313,XP_011531313.1,XP_011531314,XP_011531314.1,XP_011531315,XP_011531315.1,cytosolic carboxypeptidase 5,hsa:60509,uc002rid.4,uc002rie.4
AHR	9606.ENSP00000242057	Aryl hydrocarbon receptor; Ligand-activated transcriptional activator. Binds to the XRE promoter region of genes it activates. Activates the expression of multiple phase I and II xenobiotic chemical metabolizing enzyme genes (such as the CYP1A1 gene). Mediates biochemical and toxic effects of halogenated aromatic hydrocarbons. Involved in cell-cycle regulation. Likely to play an important role in the development and maturation of many tissues. Regulates the circadian clock by inhibiting the basal and circadian expression of the core circadian component PER1. Inhibits PER1 by repressing [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=848:HLH(34|88)+PAS(113|179)+PAS(272|342)+PAC(348|389)+	196,5NJ8,A0A024R9Z8,A0A2R8Y7G1,A4D130,AAA16210.1,AAA92082.1,AAA92083.1,AAA92084.1,AAH69390.1,AAH70080.1,AC003075,AC010749,AC073332,AC092099,AC098592,AHR,AHR-201,AHR-202,AHR-203,AHR-204,AHR-205,AHR-206,AHR-207,AHR_HUMAN,Ah receptor,AhR,Aryl hydrocarbon receptor,BAA03857.1,BAA07235.1,BC069390,BC070080,BHLHE76,CAB005072,CCDS5366,CCDS5366.1,CH236948,CH471073,CHEMBL3201,Class E basic helix-loop-helix protein 76,D16354,D38044,EAL24281.1,EAW93686.1,EAW93687.1,ENSG00000106546,ENSP00000223279,ENSP00000242057,ENSP00000340973,ENSP00000385642,ENSP00000436466,ENSP00000495987,ENST00000223279,ENST00000242057,ENST00000242057.8,ENST00000339617,ENST00000401808,ENST00000463496,ENST00000463496.1,ENST00000475440,ENST00000475440.1,ENST00000481944,ENST00000481944.1,ENST00000492120,ENST00000492120.1,ENST00000642825,ENST00000642825.1,ENST00000645559,ENST00000645559.1,HGNC:348,HPA029722,HPA029723,L19872,NM_001621,NM_001621.4,NM_001621.5,NP_001612,NP_001612.1,NX_P35869,OMIM:600253,OTTHUMG00000149967,P35869,Q13728,Q13803,Q13804,R-HSA-1430728,R-HSA-1989781,R-HSA-211859,R-HSA-211897,R-HSA-211945,R-HSA-211976,R-HSA-211981,R-HSA-400206,R-HSA-556833,R-HSA-8937144,RP85,U27656,U27657,U28060,U28061,U28062,U28063,U28064,U28065,U28066,UPI0000125727,UPI000020EB82,URS0000E9B256,URS0000EBAD99,aryl hydrocarbon receptor,bHLHe76,hsa:196,uc011jxz.2
ARHGEF18	9606.ENSP00000482647	Rho/Rac guanine nucleotide exchange factor 18.	https://smart.embl.de/smart/DDvec.cgi?smart=1173:RhoGEF(263|455)+PH(497|600)+	23370,A-kinase anchor protein 18,A0A087WZG4,A0A087WZG4_HUMAN,A0A3B3IPE9,AC008878,AC119396,AK074372,ARHGEF18,ARHGEF18-201,ARHGEF18-202,ARHGEF18-203,ARHGEF18-204,ARHGEF18-205,ARHGEF18-206,CCDS12177,CCDS12177.1,CCDS45946,CCDS45946.1,ENSG00000104880,ENSP00000264082,ENSP00000319200,ENSP00000348563,ENSP00000352995,ENSP00000381108,ENSP00000459849,ENSP00000470729,ENSP00000471597,ENSP00000482647,ENST00000264082,ENST00000319670,ENST00000319670.13,ENST00000356230,ENST00000359920,ENST00000359920.10,ENST00000398026,ENST00000570461,ENST00000594665,ENST00000594665.1,ENST00000595600,ENST00000595600.1,ENST00000599752,ENST00000599752.5,ENST00000617428,HGNC:17090,HPA042689,HPA071867,KF456488,KF456490,KIAA0521,M0QZS0,M0R125,MGC15913,NM_001130955,NM_001130955.1,NM_001130955.2,NM_001367824,NM_001367824.1,NM_015318,NM_015318.4,NP_001124427,NP_001124427.1,NP_001124427.2,NP_001354753,NP_001354753.1,NP_056133,NP_056133.2,OMIM:616432,OTTHUMG00000177342,P114-RhoGEF,Q6ZSZ5,R-HSA-162582,R-HSA-170834,R-HSA-193648,R-HSA-193704,R-HSA-194315,R-HSA-194840,R-HSA-204998,R-HSA-2173791,R-HSA-372790,R-HSA-388396,R-HSA-416482,R-HSA-73887,R-HSA-9006936,RP78,Rho guanine nucleotide exchange factor 18,Rho/Rac guanine nucleotide exchange factor 18,SA-RhoGEF,UPI00002371B0,UPI000049DE97,UPI0000D6170D,UPI00025A2BFC,UPI0003F4803B,XM_011527840,XM_011527840.2,XP_011526142,XP_011526142.1,hsa:23370,p114RhoGEF,uc002mgh.4,uc060sna.1
ARL2BP	9606.ENSP00000219204	ADP-ribosylation factor-like protein 2-binding protein; Together with ARL2, plays a role in the nuclear translocation, retention and transcriptional activity of STAT3. May play a role as an effector of ARL2.	https://smart.embl.de/smart/DDvec.cgi?smart=163:Pfam_ARL2_Bind_BART(20|134)+	23568,2K9A,3DOE,3DOF,A0A024R6U9,AAD20633.1,AAH03087.1,AAH94878.1,AC009090,ADP-ribosylation factor-like 2 binding protein,AF126062,AK075050,AR2BP_HUMAN,ARF-like 2-binding protein,ARL2-binding protein,ARL2BP,ARL2BP-201,ARL2BP-202,ARL2BP-203,ARL2BP-204,B3KQJ5,BAG52057.1,BART,BART1,BC003087,BC094878,Binder of ARF2 protein 1,CCDS10776,CCDS10776.1,CH471092,EAW82913.1,EAW82914.1,ENSG00000102931,ENSP00000219204,ENSP00000454237,ENSP00000457465,ENST00000219204,ENST00000219204.7,ENST00000562023,ENST00000562023.5,ENST00000563234,ENST00000563234.1,ENST00000565794,ENST00000565794.1,H3BM52,H3BU49,HGNC:17146,HPA043066,HPA048440,NM_012106,NM_012106.3,NM_012106.4,NP_036238,NP_036238.1,NX_Q9Y2Y0,OMIM:615407,OTTHUMG00000133459,Q504R0,Q9Y2Y0,R-HSA-382551,R-HSA-425397,R-HSA-425407,R-HSA-83936,RP66,UPI00000372F1,UPI0002466DA5,UPI0002466DA6,binder of Arl2,hsa:23568,retinitis pigmentosa 66 (autosomal recessive),uc002elf.2
ARL3	9606.ENSP00000260746	ADP-ribosylation factor-like protein 3; Small GTP-binding protein which cycles between an inactive GDP-bound and an active GTP-bound form, and the rate of cycling is regulated by guanine nucleotide exchange factors (GEF) and GTPase- activating proteins (GAP). Required for normal cytokinesis and cilia signaling. Requires assistance from GTPase-activating proteins (GAPs) like RP2 and PDE6D, in order to cycle between inactive GDP-bound and active GTP-bound forms. Required for targeting proteins to the cilium, including myristoylated NPHP3 and prenylated INPP5E. Targets NPHP3 to the ciliar [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=182:ARF(1|181)+	403,AAA21654.1,AAH09841.1,AAM12603.1,ADP ribosylation factor like GTPase 3,ADP-ribosylation factor-like 3,ADP-ribosylation factor-like protein 3,AF493889,AK312525,AL391121,ARFL3,ARL3,ARL3-201,ARL3_HUMAN,B2R6C7,BAG35424.1,BC009841,CAG28565.1,CCDS7538,CCDS7538.1,CR407637,ENSG00000138175,ENSP00000260746,ENSP00000328180,ENSP00000358911,ENST00000260746,ENST00000260746.5,ENST00000331467,ENST00000369895,HGNC:694,HPA036292,HPA063596,JBTS35,NM_004311,NM_004311.3,NM_004311.4,NP_004302,NP_004302.1,NX_P36405,OMIM:604695,OTTHUMG00000018965,P36405,Q53X83,Q5JSM2,R-HSA-1852241,R-HSA-5617833,R-HSA-5620920,R-HSA-5624138,RP83,U07151,UPI0000125EE4,XM_017016260,XM_017016260.1,XP_016871749,XP_016871749.1,hsa:403,uc001kwa.4
ARL6	9606.ENSP00000419619	ADP-ribosylation factor-like protein 6; Involved in membrane protein trafficking at the base of the ciliary organelle. Mediates recruitment onto plasma membrane of the BBSome complex which would constitute a coat complex required for sorting of specific membrane proteins to the primary cilia. Together with BBS1, is necessary for correct trafficking of PKD1 to primary cilia (By similarity). Together with the BBSome complex and LTZL1, controls SMO ciliary trafficking and contributes to the sonic hedgehog (SHH) pathway regulation. May regulate cilia assembly and disassembly and subsequent [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=186:ARF(1|185)+	2H57,84100,A0A0J9YXT0,A8KA93,AAH24239.1,AC110491,ADP ribosylation factor like GTPase 6,ADP-ribosylation factor-like 6,ADP-ribosylation factor-like protein 6,AK292958,AL136815,ARL6,ARL6-201,ARL6-202,ARL6-203,ARL6-204,ARL6-205,ARL6-206,ARL6-207,ARL6-208,ARL6-209,ARL6_HUMAN,BAF85647.1,BBS3,BC024239,Bardet-Biedl syndrome 3 protein,C9IZ13,CAB66749.1,CCDS2928,CCDS2928.1,CH471052,D3DN31,EAW79880.1,EAW79881.1,EAW79882.1,EAW79883.1,EAW79884.1,ENSG00000113966,ENSP00000264194,ENSP00000337722,ENSP00000377756,ENSP00000418057,ENSP00000418740,ENSP00000419619,ENSP00000419934,ENSP00000488530,ENST00000264194,ENST00000335979,ENST00000335979.6,ENST00000394206,ENST00000394206.5,ENST00000462412,ENST00000462412.2,ENST00000463745,ENST00000463745.5,ENST00000476753,ENST00000476753.1,ENST00000493990,ENST00000493990.5,ENST00000494363,ENST00000494363.1,ENST00000496713,ENST00000496713.1,ENST00000631834,ENST00000631834.1,H7C5H6,HGNC:13210,HPA019361,NM_001278293,NM_001278293.2,NM_001278293.3,NM_001323513,NM_001323513.1,NM_001323513.2,NM_001323514,NM_001323514.2,NM_032146,NM_032146.5,NM_177976,NM_177976.3,NP_001265222,NP_001265222.1,NP_001310442,NP_001310442.1,NP_001310443,NP_001310443.1,NP_115522,NP_115522.1,NP_816931,NP_816931.1,NR_103511,NR_103511.2,NR_136595,NR_136595.2,NR_136597,NR_136597.2,NR_136598,NR_136598.2,NR_136600,NR_136600.2,NR_136601,NR_136601.2,NR_136602,NR_136602.2,NX_Q9H0F7,OMIM:608845,OTTHUMG00000159189,Q9H0F7,R-HSA-1852241,R-HSA-5617833,R-HSA-5620920,R-HSA-5620922,RP55,UPI0000037CC9,UPI0001B7952A,UPI0001B7952B,UPI0006454760,URS00008B5EA1,URS00008BF3FE,XM_017007311,XM_017007311.1,XM_017007311.2,XM_017007312,XM_017007312.2,XP_016862800,XP_016862800.1,XP_016862801,XP_016862801.1,XR_001740321,XR_001740321.2,XR_002959599,XR_002959599.1,XR_924184,XR_924184.3,XR_924185,XR_924185.3,XR_924187,XR_924187.3,XR_924188,XR_924188.3,XR_924189,XR_924189.3,hsa:84100,uc003dru.4,uc010hoy.6
BBS1	9606.ENSP00000317469	Bardet-Biedl syndrome 1 protein; The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8(GTP) enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl ex [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=593:Pfam_BBS1(23|276)+	582,AAI09065.1,AAI09066.1,AAM92770.1,AF503941,AK027645,AP002748,BAB55261.1,BBS1,BBS1-201,BBS1-202,BBS1-203,BBS1-204,BBS1-205,BBS1-206,BBS1-207,BBS1-208,BBS1-209,BBS1-210,BBS1-211,BBS1-212,BBS1-213,BBS1-214,BBS1-215,BBS1-216,BBS1-217,BBS1-218,BBS1-219,BBS1-220,BBS1-221,BBS1-222,BBS1-223,BBS1-224,BBS1-225,BBS1_HUMAN,BBS2-like protein 2,BBS2L2,BC109064,BC109065,Bardet-Biedl syndrome 1,Bardet-Biedl syndrome 1 protein,CCDS8142,CCDS8142.1,E7EQH1,E9PJ28,E9PMB7,E9PPR3,E9PQD9,E9PQK2,E9PR55,ENSG00000174483,ENSP00000309677,ENSP00000309957,ENSP00000311247,ENSP00000317469,ENSP00000329396,ENSP00000335550,ENSP00000343245,ENSP00000353701,ENSP00000377563,ENSP00000389943,ENSP00000398526,ENSP00000405764,ENSP00000431187,ENSP00000431866,ENSP00000432140,ENSP00000434197,ENSP00000434360,ENSP00000434619,ENSP00000436073,ENSP00000436195,ENSP00000436860,ENSP00000436927,ENSP00000439873,ENSP00000486455,ENST00000310770,ENST00000310805,ENST00000310909,ENST00000318312,ENST00000318312.11,ENST00000328355,ENST00000335157,ENST00000340791,ENST00000347422,ENST00000360510,ENST00000393994,ENST00000393994.4,ENST00000419755,ENST00000453114,ENST00000455748,ENST00000455748.6,ENST00000524458,ENST00000524458.5,ENST00000524705,ENST00000524705.2,ENST00000524884,ENST00000524884.1,ENST00000524907,ENST00000524907.5,ENST00000525809,ENST00000525809.5,ENST00000526035,ENST00000526035.5,ENST00000526760,ENST00000526760.5,ENST00000526815,ENST00000526815.5,ENST00000527251,ENST00000527251.5,ENST00000527959,ENST00000527959.1,ENST00000528543,ENST00000528543.1,ENST00000529766,ENST00000529766.5,ENST00000529895,ENST00000529895.1,ENST00000529953,ENST00000529953.5,ENST00000529955,ENST00000529955.5,ENST00000532283,ENST00000532283.1,ENST00000532908,ENST00000532908.5,ENST00000533430,ENST00000533430.5,ENST00000533557,ENST00000533557.5,ENST00000533644,ENST00000533644.5,ENST00000534730,ENST00000534730.5,ENST00000537537,ENST00000630659,ENST00000630659.2,FLJ23590,HGNC:966,HPA058283,NM_024649,NM_024649.4,NM_024649.5,NP_078925,NP_078925.3,NX_Q8NFJ9,OMIM:209901,OTTHUMG00000167110,Q32MM9,Q32MN0,Q8NFJ9,Q96SN4,R-HSA-1852241,R-HSA-5617833,R-HSA-5620920,R-HSA-5620922,UPI0000073430,UPI00005DC73B,UPI0000DFFCF3,UPI0000E59363,UPI0001AE6C52,UPI0001F77E01,UPI0001F77E02,UPI0001F77E03,UPI00053BD5F7,URS00008B76BA,URS00008C1253,URS00008C36CD,URS0000E9A44E,URS0000EB9294,hsa:582,uc001oij.2
