#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	IMPG2	9606.ENSP00000359245	9606.ENSP00000193391	0	0	0	0	0	0	0	0.741	0.741
ABCA4	CRX	9606.ENSP00000359245	9606.ENSP00000221996	0	0	0	0	0.042	0	0	0.771	0.771
ABCA4	RCVRN	9606.ENSP00000359245	9606.ENSP00000226193	0	0	0	0	0.111	0.045	0	0.353	0.403
ABCA4	TULP1	9606.ENSP00000359245	9606.ENSP00000229771	0	0	0	0	0.071	0	0	0.806	0.812
ABCA4	GUCA1B	9606.ENSP00000359245	9606.ENSP00000230361	0	0	0	0	0.103	0.045	0	0.648	0.672
ABCA4	PRPH2	9606.ENSP00000359245	9606.ENSP00000230381	0	0	0	0	0.066	0	0	0.889	0.891
ABCA4	GNAT1	9606.ENSP00000359245	9606.ENSP00000232461	0	0	0	0	0.128	0.045	0	0.411	0.466
ABCA4	OPN1SW	9606.ENSP00000359245	9606.ENSP00000249389	0	0	0	0	0.084	0	0	0.382	0.410
ABCA4	CNGB1	9606.ENSP00000359245	9606.ENSP00000251102	0	0	0	0	0.049	0.306	0	0.795	0.853
ABCA4	GNAT2	9606.ENSP00000359245	9606.ENSP00000251337	0	0	0	0	0.103	0.045	0	0.568	0.598
ABCA4	GUCY2D	9606.ENSP00000359245	9606.ENSP00000254854	0	0	0	0	0.088	0	0	0.819	0.828
ABCA4	PDE6A	9606.ENSP00000359245	9606.ENSP00000255266	0	0	0	0	0.079	0	0	0.758	0.767
ABCA4	RDH5	9606.ENSP00000359245	9606.ENSP00000257895	0	0	0	0	0.061	0	0	0.716	0.722
ABCA4	SLC24A1	9606.ENSP00000359245	9606.ENSP00000261892	0.045	0	0	0	0.092	0.050	0	0.514	0.546
ABCA4	RPE65	9606.ENSP00000359245	9606.ENSP00000262340	0	0	0	0	0.052	0	0	0.866	0.868
ABCA4	PITPNM3	9606.ENSP00000359245	9606.ENSP00000262483	0	0	0	0	0.045	0	0	0.676	0.677
ABCA4	GRK7	9606.ENSP00000359245	9606.ENSP00000264952	0	0	0	0	0.067	0	0	0.441	0.456
ABCA4	PDE6H	9606.ENSP00000359245	9606.ENSP00000266395	0	0	0	0	0.056	0	0	0.509	0.517
ABCA4	RLBP1	9606.ENSP00000359245	9606.ENSP00000268125	0	0	0	0	0.042	0.047	0	0.610	0.612
ABCA4	CNGA3	9606.ENSP00000359245	9606.ENSP00000272602	0	0	0	0	0.061	0	0	0.667	0.674
