#node	identifier	x_position	y_position	color	annotation
ABCA4	9606.ENSP00000359245	0.4189873417721519	0.47498194945848377	rgb(187,255,101)	Retinal-specific phospholipid-transporting ATPase ABCA4; Catalyzes the translocation of specific phospholipids from the extracellular/lumenal to the cytoplasmic leaflet of membrane coupled to the hydrolysis of ATP. Transports preferentially phosphatidylethanolamine. In the visual cycle, acts as an inward-directed retinoid flipase, retinoid substrates imported by ABCA4 from the extracellular or intradiscal (rod) membrane surfaces to the cytoplasmic membrane surface are all- trans-retinaldehyde (ATR) and N-retinyl-phosphatidyl-ethanolamine (NR- PE). Once transported to the cytoplasmic su [...] 
ADGRA3	9606.ENSP00000334952	0.8227848101265823	0.7875451263537907	rgb(239,169,117)	Adhesion G protein-coupled receptor A3; Orphan receptor that may have a role in planar cell polarity pathway; Belongs to the G-protein coupled receptor 2 family. Adhesion G-protein coupled receptor (ADGR) subfamily.
ADIPOR1	9606.ENSP00000341785	0.8424050632911394	0.2033574007220217	rgb(117,117,239)	Adiponectin receptor protein 1; Receptor for ADIPOQ, an essential hormone secreted by adipocytes that regulates glucose and lipid metabolism. Required for normal glucose and fat homeostasis and for maintaining a normal body weight. ADIPOQ-binding activates a signaling cascade that leads to increased AMPK activity, and ultimately to increased fatty acid oxidation, increased glucose uptake and decreased gluconeogenesis. Has high affinity for globular adiponectin and low affinity for full-length adiponectin (By similarity); Belongs to the ADIPOR family.
AGBL5	9606.ENSP00000353249	0.37151898734177213	0.8278339350180506	rgb(150,101,255)	Cytosolic carboxypeptidase-like protein 5; Metallocarboxypeptidase that mediates protein deglutamylation. Specifically catalyzes the deglutamylation of the branching point glutamate side chains generated by post-translational glutamylation in proteins such as tubulins. In contrast, it is not able to act as a long-chain deglutamylase that shortens long polyglutamate chains, a process catalyzed by AGTPBP1/CCP1, AGBL2/CCP2, AGBL3/CCP3, AGBL1/CCP4 and AGBL4/CCP6. Mediates deglutamylation of CGAS, regulating the antiviral activity of CGAS.
AHR	9606.ENSP00000242057	0.37151898734177213	0.7875451263537907	rgb(239,164,117)	Aryl hydrocarbon receptor; Ligand-activated transcriptional activator. Binds to the XRE promoter region of genes it activates. Activates the expression of multiple phase I and II xenobiotic chemical metabolizing enzyme genes (such as the CYP1A1 gene). Mediates biochemical and toxic effects of halogenated aromatic hydrocarbons. Involved in cell-cycle regulation. Likely to play an important role in the development and maturation of many tissues. Regulates the circadian clock by inhibiting the basal and circadian expression of the core circadian component PER1. Inhibits PER1 by repressing [...] 
ARHGEF18	9606.ENSP00000482647	0.5873417721518989	0.8681227436823106	rgb(117,117,239)	Rho/Rac guanine nucleotide exchange factor 18.
ARL2BP	9606.ENSP00000219204	0.4132911392405063	0.202057761732852	rgb(0,178,157)	ADP-ribosylation factor-like protein 2-binding protein; Together with ARL2, plays a role in the nuclear translocation, retention and transcriptional activity of STAT3. May play a role as an effector of ARL2.
ARL3	9606.ENSP00000260746	0.5177215189873419	0.20725631768953068	rgb(239,150,117)	ADP-ribosylation factor-like protein 3; Small GTP-binding protein which cycles between an inactive GDP-bound and an active GTP-bound form, and the rate of cycling is regulated by guanine nucleotide exchange factors (GEF) and GTPase- activating proteins (GAP). Required for normal cytokinesis and cilia signaling. Requires assistance from GTPase-activating proteins (GAPs) like RP2 and PDE6D, in order to cycle between inactive GDP-bound and active GTP-bound forms. Required for targeting proteins to the cilium, including myristoylated NPHP3 and prenylated INPP5E. Targets NPHP3 to the ciliar [...] 
ARL6	9606.ENSP00000419619	0.7816455696202532	0.37620938628158845	rgb(239,234,117)	ADP-ribosylation factor-like protein 6; Involved in membrane protein trafficking at the base of the ciliary organelle. Mediates recruitment onto plasma membrane of the BBSome complex which would constitute a coat complex required for sorting of specific membrane proteins to the primary cilia. Together with BBS1, is necessary for correct trafficking of PKD1 to primary cilia (By similarity). Together with the BBSome complex and LTZL1, controls SMO ciliary trafficking and contributes to the sonic hedgehog (SHH) pathway regulation. May regulate cilia assembly and disassembly and subsequent [...] 
BBS1	9606.ENSP00000317469	0.6493670886075951	0.3151263537906137	rgb(101,255,163)	Bardet-Biedl syndrome 1 protein; The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. This ciliogenic function is mediated in part by the Rab8 GDP/GTP exchange factor, which localizes to the basal body and contacts the BBSome. Rab8(GTP) enters the primary cilium and promotes extension of the ciliary membrane. Firstly the BBSome associates with the ciliary membrane and binds to RAB3IP/Rabin8, the guanosyl ex [...] 
